layerCenter,GroupCount,mean_temp
24.5,671,18.7215901302332
73.5,641,16.2084804600375
122.5,632,14.6426155023937
171.5,596,13.7097181361794
220.5,608,12.9889670955507
269.5,609,12.3756157510191
318.5,597,11.7314622949316
367.5,481,11.1262806636628
416.5,435,10.4740804277617
465.5,442,9.86126695607043
514.5,433,9.28257504346464
563.5,435,8.83331033114729
612.5,433,8.41599769460136
661.5,394,7.96261419983685
710.5,398,7.50587940335873
759.5,400,7.07099999547005
808.5,398,6.66832913346027
857.5,400,6.30748750925064
906.5,392,5.96085713955821
955.5,400,5.64849999308586
1004.5,398,5.32440200522916
1053.5,398,5.01395729438743
1102.5,396,4.73118181180472
1151.5,392,4.46970153159025
1200.5,396,4.22997221681807
1249.5,398,4.00734926468164
1298.5,396,3.81406565025599
1347.5,398,3.63450753688812
1396.5,396,3.46599747436215
1445.5,392,3.30927295465859
1494.5,396,3.17258081111041
1543.5,363,3.04124241886717
1592.5,396,2.9307702027186
1641.5,363,2.82014600632933
1690.5,390,2.729774360779
1739.5,363,2.64184022278168
1788.5,396,2.57533586025238
1837.5,363,2.51246831502468
1886.5,389,2.4583753178849
1935.5,352,2.40480114113201
1984.5,231,2.37851515373626
