ID,Longitude,Latitude,Timestamp,DAC,Original core file,Original synthetic file
4901766_060,-147.38729858398438,51.68840026855469,2015-10-13T08:50:00.000Z,ME,ftp://ftp.ifremer.fr/ifremer/argo/dac/meds/4901766/profiles/D4901766_060.nc,
4901180_118,-142.21817016601562,51.07843780517578,2015-10-12T10:17:59.999Z,ME,ftp://ftp.ifremer.fr/ifremer/argo/dac/meds/4901180/profiles/D4901180_118.nc,
4901188_118,-145.618896484375,47.322200775146484,2015-10-12T10:12:00.000Z,ME,ftp://ftp.ifremer.fr/ifremer/argo/dac/meds/4901188/profiles/D4901188_118.nc,
5901076_319,-140.195,49.277,2015-10-12T03:51:47.000Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5901076/profiles/D5901076_319.nc,
5901075_319,-153.596,47.136,2015-10-12T03:04:49.000Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5901075/profiles/D5901075_319.nc,
4900949_119,-147.943,47.233,2015-10-11T22:41:22.999Z,JA,ftp://ftp.ifremer.fr/ifremer/argo/dac/jma/4900949/profiles/D4900949_119.nc,
5901077_319,-143.128,46.924,2015-10-11T21:04:03.002Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5901077/profiles/D5901077_319.nc,
5904095_132,-147.066,50.63,2015-10-11T15:52:32.001Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5904095/profiles/D5904095_132.nc,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5904095/profiles/SD5904095_132.nc
5903743_238,-141.922,50.017,2015-10-11T09:51:18.001Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5903743/profiles/D5903743_238.nc,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5903743/profiles/SD5903743_238.nc
4902083_013,-151.206,48.866,2015-10-11T08:38:54.000Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/4902083/profiles/D4902083_013.nc,
4901732_096,-141.98187255859375,51.78982925415039,2015-10-11T07:17:59.999Z,ME,ftp://ftp.ifremer.fr/ifremer/argo/dac/meds/4901732/profiles/D4901732_096.nc,
4901440_138,-147.248,49.834,2015-10-10T10:55:31.001Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/4901440/profiles/D4901440_138.nc,
5903714_257,-141.22,51.41,2015-10-10T05:41:17.000Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5903714/profiles/D5903714_257.nc,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5903714/profiles/SD5903714_257.nc
5901079_310,-144.765,47.548,2015-10-08T21:36:16.002Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5901079/profiles/D5901079_310.nc,
5904491_025,-142.439,47.402,2015-10-08T19:23:08.002Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5904491/profiles/D5904491_025.nc,
5904125_163,-148.836,51.036,2015-10-08T12:28:26.001Z,AO,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5904125/profiles/D5904125_163.nc,ftp://ftp.ifremer.fr/ifremer/argo/dac/aoml/5904125/profiles/SD5904125_163.nc
4901731_096,-140.27139282226562,51.4739990234375,2015-10-08T06:36:00.000Z,ME,ftp://ftp.ifremer.fr/ifremer/argo/dac/meds/4901731/profiles/D4901731_096.nc,
