floatMonth,layerCenter,GroupCount,mean_temp,std_temp,se
1,4.99,12,17.2909167607625,3.07528998344423,0.887759749888842
1,14.97,17,17.0271765204037,2.66162660403288,0.645539272022447
1,24.95,12,16.0164167086283,2.51118290143904,0.724916062065109
1,34.93,14,16.404071194785,2.70316758316994,0.722451925375406
1,44.91,14,16.0162142344884,2.50764319206788,0.670195833785298
1,54.89,12,15.5301667849223,2.37773345357439,0.686392524741176
1,64.87,10,14.4562999725342,1.74766870039773,0.552661368864326
1,74.85,11,14.3389089757746,2.12597012412723,0.641004110657757
1,84.83,11,13.9674546501853,2.24683041466767,0.677444859364664
1,94.81,11,13.7502726641568,2.16702934609819,0.653383931881536
1,104.79,11,13.6519091346047,2.0691112628769,0.623860518951009
1,114.77,11,13.5306362672286,2.03265565536328,0.612868739712178
1,124.75,11,13.3190908432007,1.98430421181443,0.59829023095549
1,134.73,12,13.3769998550415,1.88858808492313,0.545188419609343
1,144.71,10,12.7409997940063,1.63718752043646,0.517724152138268
1,154.69,11,12.8615454760465,1.74525053056543,0.526212834095838
1,164.67,11,12.7299090298739,1.72017885817023,0.518653440441147
1,174.65,11,12.5777273178101,1.64082619416715,0.494727712021752
1,184.63,11,12.4464545683427,1.64199353859618,0.495079679610133
1,194.61,11,12.3136364329945,1.55558147802527,0.469025463039664
1,204.59,11,12.1608183600686,1.50121796456389,0.452634246999951
1,214.57,11,12.0548181533813,1.47431944910478,0.444524039436729
1,224.55,11,11.9500907551159,1.46970715552926,0.443133380599186
1,234.53,11,11.8681818355214,1.45562791658716,0.438888330335122
1,244.51,11,11.7422728105025,1.46046075279473,0.440345485278192
1,254.49,11,11.6017273989591,1.47391749724177,0.444402846390058
1,264.47,11,11.5056363886053,1.44379021941316,0.435319130343485
1,274.45,11,11.4411818764426,1.39878615657026,0.421749894844262
1,284.43,11,11.3185454281894,1.38546172568792,0.417732427773194
1,294.41,11,11.1755454323509,1.39747457550673,0.421354438274274
1,304.39,11,11.0438180403276,1.39932089269166,0.42191112385122
1,314.37,11,10.971545566212,1.35704081972147,0.409163202201132
1,324.35,11,10.8533637306907,1.30404869193137,0.393185474499101
1,334.33,11,10.7296362790194,1.25814019905357,0.379343543083977
1,344.31,11,10.6269090825861,1.18599704653235,0.357591564165226
1,354.29,8,10.9556250572205,1.05820961161234,0.374133596143934
1,364.27,2,10.6824998855591,2.39638483828284,1.69449996948242
1,374.25,9,10.2066668404473,0.902975276146365,0.300991758715455
1,384.23,2,10.5720000267029,2.35607963846447,1.66599988937378
1,394.21,5,9.83339996337891,1.04128847918137,0.465678364727386
1,404.19,6,10.2381666501363,1.02484823789345,0.418392541104903
1,424.15,7,9.51242828369141,0.540963408577937,0.204464949640435
1,444.11,5,9.46159992218018,0.80058721709323,0.358033487867569
1,454.09,6,9.71383349100749,0.805042768349317,0.328657333928904
1,474.05,6,9.13566668828329,0.359076261784063,0.146592270019498
1,484.03,1,9.36100006103516,0,0
1,494.01,5,9.13680000305176,0.567381429259635,0.253740688999106
1,503.99,6,9.26816654205322,0.572142983788663,0.233576395032615
1,523.95,5,8.84459991455078,0.360933486674799,0.161414362312173
1,533.93,2,9.05000019073486,0.0127276739007138,0.00899982452392578
1,543.91,5,8.82860012054443,0.464523595183278,0.207741267196481
1,553.89,6,8.90599997838338,0.466036413284575,0.190258569017338
1,573.85,6,8.56399997075399,0.320117490009122,0.130687418043807
1,583.83,1,8.5959997177124,0,0
1,593.81,5,8.52299995422363,0.331903035085152,0.148431549677779
1,603.79,6,8.43516667683919,0.378717320190342,0.154610698536763
1,623.75,4,8.33050000667572,0.267787896814036,0.133893948407018
1,633.73,3,8.00800005594889,0.157038149748903,0.0906660180305698
1,643.71,5,8.19139976501465,0.27392565777349,0.122503278312574
1,653.69,6,7.96483325958252,0.309701320848008,0.126435034790599
1,693.61,5,7.8452000617981,0.264458463938885,0.118269420518505
1,703.59,6,7.45666670799255,0.352608384476716,0.143951770165844
1,743.51,6,7.47933332125346,0.279834073033453,0.114241781929447
1,753.49,5,6.9564001083374,0.282076754099662,0.126148559407867
1,793.41,5,7.08219995498657,0.247062150218792,0.110489552511297
1,803.39,6,6.59666665395101,0.301896336143412,0.123248663127852
1,843.31,5,6.63680000305176,0.200349037736853,0.089598813521255
1,853.29,6,6.23316669464111,0.251823259273925,0.102806415097618
1,893.21,5,6.22899990081787,0.210633532514866,0.0941981794088304
1,903.19,6,5.91266663869222,0.249362187020967,0.10180168655764
1,943.11,5,5.88559989929199,0.167455305032699,0.0748882890492155
1,953.09,6,5.589333375295,0.228381000708239,0.0932361531135649
1,993.01,5,5.54099998474121,0.17254418544174,0.0771641055540122
1,1002.99,6,5.28800002733866,0.171516868851687,0.0700214684944159
1,1042.91,4,5.1177499294281,0.176411112523006,0.0882055562615032
1,1052.89,6,5.003666639328,0.101415296412358,0.0414026213872311
1,1092.81,4,4.82274997234344,0.210327263555128,0.105163631777564
1,1102.79,6,4.71183331807454,0.0896357655266927,0.036593648040692
1,1142.71,4,4.57975006103516,0.248869903369222,0.124434951684611
1,1152.69,6,4.43766665458679,0.127614463978608,0.0520983867577289
1,1192.61,4,4.36424994468689,0.154905088480885,0.0774525442404425
1,1202.59,6,4.23199995358785,0.115875841933255,0.0473061143753121
1,1242.51,4,4.18949997425079,0.146042218035443,0.0730211090177213
1,1252.49,6,4.01300001144409,0.109590189836547,0.0447400076523807
1,1292.41,4,3.95724999904633,0.101975034379353,0.0509875171896764
1,1302.39,6,3.79266663392385,0.0792607544927787,0.0323580675225529
