layerCenter,GroupCount,mean_temp,median_temp
4.99,372,18.0878817266034,18.1359996795654
14.97,344,17.8912267352259,17.9809999465942
24.95,305,17.7152721342493,17.4440002441406
34.93,312,17.5316827052679,17.3719997406006
44.91,317,17.1363564680803,17.1630001068115
54.89,308,16.6066493523585,16.6180000305176
64.87,307,16.1526514699482,16.0809993743896
74.85,307,15.6694430031295,15.496000289917
84.83,304,15.3371085273592,15.2420001029968
94.81,298,15.0562617506757,15.0590000152588
104.79,308,14.7343343914329,14.6549997329712
114.77,302,14.488324537972,14.3689999580383
124.75,306,14.2403104726006,14.1565003395081
134.73,304,14.0378421105837,13.9109997749329
144.71,303,13.8242640164819,13.7220001220703
154.69,305,13.6533475406834,13.5209999084473
164.67,302,13.4529570017429,13.3105001449585
174.65,306,13.3032875777849,13.1654996871948
184.63,303,13.1499240988552,13.0209999084473
194.61,308,12.9641753171946,12.8234996795654
204.59,302,12.8239602821552,12.688000202179
214.57,302,12.6674900497032,12.500500202179
224.55,305,12.4756458876563,12.2910003662109
234.53,305,12.327249189283,12.1389999389648
244.51,303,12.1658052658484,11.8879995346069
254.49,304,12.0363585572494,11.7649998664856
264.47,303,11.8978844790569,11.5780000686646
274.45,304,11.7777795666143,11.3864998817444
284.43,306,11.6669640759237,11.2804999351501
294.41,293,11.5747406116525,11.1059999465942
304.39,304,11.4042434064965,10.9224996566772
314.37,295,11.3221152645046,10.8959999084473
324.35,303,11.1467161367435,10.7469997406006
334.33,296,11.0689594584542,10.6844997406006
344.31,302,10.9077847777613,10.5920000076294
354.29,286,10.7640734585849,10.5270004272461
364.27,279,10.5909641532488,10.3599996566772
374.25,286,10.6054161045101,10.4090003967285
384.23,277,10.3781949329032,10.1569995880127
394.21,269,10.3734832997659,10.1479997634888
404.19,296,10.1701419063517,10.0040001869202
414.17,261,10.0944482978733,9.99199962615967
424.15,294,10.0242244662071,9.8914999961853
434.13,261,9.87918771911855,9.75300025939941
444.11,276,9.81862317133641,9.67850017547607
454.09,289,9.67876469800217,9.50300025939941
464.07,267,9.59762920601091,9.3730001449585
474.05,286,9.57237062420878,9.43200016021729
484.03,269,9.43084388683276,9.25899982452393
494.01,268,9.40810449621571,9.20599985122681
503.99,297,9.25708415933731,9.10000038146973
513.97,260,9.22255002351908,9.06500005722046
523.95,286,9.17927623962189,9.05900001525879
533.93,260,9.07316541671753,8.97000026702881
543.91,269,9.03388475574082,8.92099952697754
553.89,296,8.89694258167937,8.85299968719482
563.87,260,8.85034614893106,8.78399991989136
573.85,286,8.79742658888543,8.74900007247925
583.83,260,8.70166924916781,8.64400005340576
593.81,268,8.66802984742976,8.58850002288818
603.79,297,8.54888890809082,8.4980001449585
613.77,260,8.50790380514585,8.46950006484985
623.75,286,8.44851750427193,8.4355001449585
633.73,260,8.36722307021801,8.3730001449585
643.71,270,8.32445924546984,8.33649969100952
653.69,295,8.19792203095,8.23999977111816
663.67,260,8.14825383883256,8.16099977493286
673.65,260,8.08362689935244,8.08199977874756
683.63,260,8.00741924505967,8.03200006484985
693.61,269,7.94449071990513,7.94199991226196
703.59,296,7.81628041009645,7.80699992179871
713.57,260,7.76152307253617,7.71299982070923
723.55,260,7.67784232726464,7.63100004196167
733.53,260,7.5966269162985,7.59299993515015
743.51,268,7.52929105153724,7.51300001144409
753.49,297,7.40441413359209,7.40999984741211
763.47,260,7.3563115468392,7.30699992179871
773.45,260,7.27606923213372,7.21950006484985
783.43,260,7.2033192212765,7.10800004005432
793.41,268,7.14117537149742,7.06550002098083
803.39,297,7.01410437754108,6.97700023651123
813.37,260,6.96441921821007,6.91100001335144
823.35,259,6.87672586330576,6.81099987030029
833.33,259,6.79560618603091,6.74599981307983
843.31,269,6.73698141495091,6.65000009536743
853.29,296,6.60838851896492,6.51999998092651
863.27,260,6.55653076171875,6.44799995422363
873.25,260,6.47778846667363,6.38199996948242
883.23,260,6.39781537606166,6.35199999809265
893.21,268,6.33104105493916,6.27349996566772
903.19,296,6.22569931842185,6.18800020217896
913.17,259,6.17880308121788,6.13600015640259
923.15,256,6.11013281159103,6.0770001411438
933.13,260,6.02224615170405,5.97200012207031
943.11,268,5.95812314837726,5.88450002670288
953.09,293,5.85525256863226,5.81599998474121
963.07,259,5.81072587488241,5.74399995803833
973.05,260,5.73663846162649,5.67300009727478
983.03,254,5.66095275766268,5.58800005912781
993.01,253,5.59702372456728,5.5149998664856
1002.99,294,5.49083333112756,5.42300009727478
1012.97,254,5.4487874019803,5.36249995231628
1022.95,260,5.38382307566129,5.31350016593933
1032.93,260,5.32201154598823,5.25400018692017
1042.91,268,5.26480596545917,5.21700000762939
1052.89,295,5.16649492554745,5.13199996948242
1062.87,260,5.12354615468245,5.07100009918213
1072.85,260,5.0601961521002,5.0149998664856
1082.83,258,4.99216667903486,4.95150017738342
1092.81,265,4.92683018018615,4.88700008392334
1102.79,293,4.86120137989318,4.84200000762939
1112.77,259,4.81612740612398,4.79500007629395
1122.75,259,4.75242086358972,4.7519998550415
1132.73,260,4.69186537724275,4.69449996948242
1142.71,268,4.63511194222009,4.625
1152.69,293,4.55613311647148,4.57100009918213
1162.67,259,4.51191892495026,4.50600004196167
1172.65,260,4.45898844737273,4.46550011634827
1182.63,260,4.40270768495706,4.42750000953674
1192.61,268,4.3599403171397,4.37250018119812
1202.59,294,4.29880611831639,4.31299996376038
1212.57,257,4.26508949146197,4.26999998092651
1222.55,255,4.21387058800342,4.20599985122681
1232.53,255,4.17026272942038,4.15899991989136
1242.51,263,4.1311482839258,4.10900020599365
1252.49,289,4.07879585213315,4.0770001411438
1262.47,255,4.04616863213333,4.02400016784668
1272.45,255,3.99846666373459,3.98600006103516
1282.43,255,3.94964314161562,3.95000004768372
1292.41,263,3.91009505710674,3.90499997138977
1302.39,288,3.85612153758605,3.85600006580353
1312.37,255,3.82461960455951,3.81599998474121
1322.35,255,3.7878352988,3.7739999294281
