layerCenter,GroupCount,mean_temp,median_temp
4.98,36,17.1329721344842,17.503999710083
14.94,36,17.7410833040873,19.1919994354248
24.9,30,16.8888334274292,17.2889995574951
34.86,28,16.9351786545345,17.2740001678467
44.82,34,16.9461470211253,18.102499961853
54.78,30,16.6276667277018,17.6824998855591
64.74,33,16.3019393285116,17.0869998931885
74.7,31,15.8418708309051,16.2719993591309
84.66,32,15.431218713522,15.8905000686646
94.62,33,15.0193939497977,15.3479995727539
104.58,31,14.8428709276261,14.8620004653931
114.54,33,14.5503332831643,14.4090003967285
124.5,31,14.363580734499,14.3170003890991
134.46,32,14.1864061653614,14.0494999885559
144.42,33,14.0215152393688,13.8690004348755
154.38,31,13.8886128702471,13.7559995651245
164.34,32,13.817625015974,13.683000087738
174.3,31,13.5403547286987,13.3800001144409
184.26,34,13.721970614265,13.3035001754761
194.22,30,12.897200012207,12.9795002937317
204.18,32,13.1182812154293,12.9489998817444
214.14,31,13.0871612794938,12.753999710083
224.1,33,12.757575786475,12.53600025177
234.06,31,12.7809677124023,12.4049997329712
244.02,32,12.5389375686646,12.3125
253.98,32,12.4067812860012,12.2375001907349
263.94,34,12.3304411944221,12.0824999809265
273.9,30,12.0279333114624,11.9244999885559
283.86,32,12.009249985218,11.7954998016357
293.82,32,11.8560000360012,11.6535000801086
303.78,32,11.7248438298702,11.4700002670288
313.74,32,11.595187485218,11.3639998435974
323.7,32,11.4816562533379,11.2715001106262
333.66,32,11.3438123762608,11.1535000801086
343.62,32,11.2228124439716,10.9295001029968
353.58,28,11.3409284182957,10.9064998626709
363.54,12,11.1174165407817,10.4779996871948
373.5,20,10.7091000080109,10.6424999237061
383.46,12,10.8965833187103,10.245500087738
393.42,5,9.58759994506836,9.0930004119873
403.38,27,10.7027777919063,10.2040004730225
423.3,20,10.1451499938965,9.87150001525879
443.22,4,8.94624996185303,8.89849996566772
453.18,28,10.1795356614249,9.64100027084351
473.1,20,9.67129998207092,9.37599992752075
493.02,4,8.75999975204468,8.7649998664856
502.98,28,9.69271424838475,9.17049980163574
522.9,20,9.22594995498657,8.875
542.82,4,8.54974961280823,8.54049968719482
552.78,28,9.24657137053353,8.91349983215332
572.7,20,8.80064995288849,8.49650001525879
592.62,4,8.27874994277954,8.29349994659424
602.58,28,8.83892859731402,8.6875
622.5,20,8.41329996585846,8.1879997253418
642.42,4,7.97674989700317,7.96449995040894
652.38,28,8.41471433639526,8.28450012207031
692.22,4,7.60400009155273,7.63350009918213
702.18,28,7.99292857306344,7.92999982833862
742.02,4,7.22875010967255,7.30250000953674
751.98,28,7.57453574453081,7.4925000667572
791.82,4,6.8657500743866,6.92700004577637
801.78,28,7.15914283479963,7.11150002479553
841.62,4,6.42724990844727,6.44299983978271
851.58,28,6.76432144641876,6.63499999046326
891.42,3,5.81266657511393,5.77199983596802
901.38,29,6.33465516978297,6.2189998626709
941.22,3,5.31766668955485,5.31300020217896
951.18,29,5.92289653317682,5.83500003814697
991.02,1,4.86199998855591,4.86199998855591
1000.98,31,5.5214193559462,5.36700010299683
1050.78,32,5.16506253182888,5.07100009918213
1090.62,1,4.39699983596802,4.39699983596802
1100.58,31,4.86864517581078,4.78900003433228
1140.42,1,4.33300018310547,4.33300018310547
1150.38,31,4.58916127297186,4.49100017547607
1200.18,32,4.32400002330542,4.24000000953674
1249.98,32,4.09628123044968,4.04099988937378
1299.78,32,3.9041874781251,3.8565000295639
1349.58,32,3.70149999111891,3.65600001811981
1399.38,32,3.53281251341105,3.48650002479553
1439.22,1,3.40199995040894,3.40199995040894
1449.18,31,3.36106451096073,3.30299997329712
1498.98,32,3.21293748915195,3.15600001811981
1548.78,12,3.19500001271566,3.2059999704361
1598.58,32,2.98381251096725,2.93599998950958
1648.38,12,2.94916667540868,2.98199999332428
1698.18,32,2.77100000530481,2.75300002098083
1747.98,12,2.73199999332428,2.75450003147125
1797.78,31,2.61558065875884,2.61400008201599
1847.58,11,2.60509089990096,2.6029999256134
1897.38,31,2.48829032528785,2.49699997901917
1907.34,3,2.44066659609477,2.46199989318848
1917.3,2,2.51349997520447,2.51349997520447
1947.18,11,2.48218183083968,2.48399996757507
1957.14,1,2.3529999256134,2.3529999256134
1977.06,9,2.36977781189813,2.35400009155273
1987.02,2,2.46399998664856,2.46399998664856
1996.98,4,2.36049997806549,2.38999998569489
