layerCenter,GroupCount,mean_temp,std_temp,se
903.19,30,6.00926667849223,0.24946852298024,0.0455465124745912
913.17,10,6.01890001296997,0.0244469954824942,0.00773081876725287
923.15,10,5.95819997787476,0.0197078596451944,0.00623217242857322
933.13,12,5.91358331839244,0.0509999803878454,0.0147224262027941
943.11,21,5.89842855362665,0.124591122750383,0.0271880119487221
953.09,30,5.70766666730245,0.229615931832533,0.0419219418090823
963.07,10,5.74600005149841,0.033223154472529,0.0105060839188802
973.05,9,5.67244434356689,0.0387399348557199,0.0129133116185733
983.03,10,5.59249997138977,0.0300638378447051,0.00950702027952356
993.01,23,5.54243481677511,0.117583556504596,0.0245178663873028
1002.99,30,5.39996665318807,0.19784852203103,0.0361220328284843
1012.97,10,5.38579998016357,0.0253807096662993,0.00802608511769578
1022.95,10,5.34800000190735,0.019107862919156,0.00604243680428068
1032.93,10,5.26659998893738,0.0308516177592088,0.009756138162
1042.91,19,5.18999998193038,0.110122642654574,0.0252638668803647
1052.89,32,5.09365627169609,0.161047531829319,0.0284694504624669
1062.87,10,5.04079999923706,0.0232177384177426,0.00734209355180607
1072.85,10,4.95830001831055,0.0239259743263288,0.00756605741099119
1082.83,10,4.89019994735718,0.0252841629187179,0.00799555435539194
1092.81,18,4.85388890902201,0.109276162641485,0.0257566385419459
1102.79,30,4.78603336016337,0.149288314576032,0.0272561924884067
1112.77,12,4.73566667238871,0.0664685013791164,0.0191878035819319
1122.75,10,4.65419993400574,0.0437690725243173,0.0138409960249938
1132.73,10,4.5701000213623,0.0425060775521787,0.0134416019464639
1142.71,19,4.56110527640895,0.132121132665625,0.0303106666102943
1152.69,30,4.50406667391459,0.152812252997884,0.0278995726767091
1162.67,10,4.44499998092651,0.0404832371691156,0.0128019236511193
1172.65,12,4.42875003814697,0.085268665541325,0.0246149435018621
1182.63,10,4.33620009422302,0.0573117042582912,0.0181235522042171
1192.61,19,4.29378943694265,0.109665941582115,0.025159092468667
1202.59,30,4.25286668936412,0.145218664388532,0.0265131794187904
1212.57,10,4.1815999507904,0.0102653670747185,0.00324619409738105
1222.55,10,4.1396999835968,0.0165666942688983,0.00523884871893767
1232.53,12,4.12441670894623,0.0905141854578307,0.0261291946697791
1242.51,19,4.08705268408123,0.110177355909467,0.0252764189618884
1252.49,30,4.02653334140778,0.158499410753799,0.0289379008737109
1262.47,10,3.95640003681183,0.0351827111090159,0.0111257501364199
1272.45,10,3.92690002918243,0.0393797681174222,0.0124529760980335
1282.43,10,3.90979998111725,0.0392536044756731,0.0124130796514506
1292.41,22,3.89545453678478,0.107166392916251,0.0228479517389916
1302.39,29,3.83634481758907,0.1484965964738,0.0275751257003435
1312.37,10,3.78470001220703,0.0545181668170273,0.0172401580998819
1322.35,10,3.73949999809265,0.05971271275048,0.0188828177558894
1332.33,10,3.6893000125885,0.0598369248271937,0.0189220970634209
1342.31,19,3.6867368221283,0.0909522541737104,0.0208658781384436
1352.29,32,3.64743749797344,0.14824433284769,0.0262061432572692
1362.27,10,3.59590001106262,0.0511825862535966,0.016185354909939
1372.25,10,3.57029995918274,0.0353869429714691,0.0111903339220329
1382.23,10,3.54279999732971,0.0223547158114406,0.00706918184099315
1392.21,19,3.51921052681772,0.0652742848553769,0.0149749479629724
1402.19,30,3.47436667283376,0.133826069840484,0.0244331857446317
1412.17,12,3.47233335177104,0.0592457844647466,0.017102784804536
1422.15,10,3.42920000553131,0.0155620747309688,0.00492116012676133
1432.13,10,3.3967000246048,0.0158608379336181,0.00501563734690318
1442.11,19,3.36857896102102,0.0391639334324711,0.00898482252966819
1452.09,30,3.32573333581289,0.0940139262482289,0.0171645160419273
1462.07,10,3.30150001049042,0.0140099048017031,0.00443032089755115
1472.05,12,3.29483334223429,0.0465751133535099,0.0134450771160931
1482.03,10,3.25390000343323,0.0181625197505461,0.0057434930459519
1492.01,18,3.22183333502875,0.0425361397613161,0.0100258642902418
1501.99,31,3.18780643709244,0.0792045804746794,0.0142255625980588
1511.97,10,3.16269998550415,0.0184935631263839,0.00584817815314777
1521.95,10,3.13579998016357,0.0292832718752804,0.00926018364678363
1531.93,12,3.11608332395554,0.0442029895515239,0.0127603039582793
1541.91,11,3.06463638218966,0.0244305740146605,0.00736609521996685
1551.89,18,3.02355554368761,0.0571439965412913,0.0134689691528159
1561.87,10,2.99579999446869,0.0111832882665038,0.0035364662652388
1571.85,10,2.97420001029968,0.0150687144495472,0.00476514590712595
1581.83,10,2.94710001945496,0.0210894781856516,0.00666907857310943
1591.81,19,2.9538947406568,0.0468578341706601,0.0107499244138471
1601.79,32,2.94049999117851,0.0711236990550393,0.0125730124762224
1611.77,10,2.89049999713898,0.0277258778606717,0.00876769241673592
1621.75,10,2.86470000743866,0.0390243663372409,0.0123405881870484
1631.73,10,2.83940000534058,0.0402414521454978,0.0127254645132443
1641.71,11,2.83299998803572,0.0579706722827436,0.0174788153460469
1651.69,20,2.81599999666214,0.0652920576902133,0.0145997479386155
1661.67,10,2.78819997310638,0.0463819854566604,0.0146672716443852
1671.65,10,2.76999995708466,0.0411231317530994,0.0130042760858987
1681.63,10,2.74759998321533,0.0372684539633068,0.0117853199397179
1691.61,15,2.76473333040873,0.0624104354977962,0.0161143051541678
1701.59,34,2.73347060119405,0.0687623085392955,0.0117926386256218
1711.57,12,2.69958333174388,0.0527574970402941,0.0152297775589924
1721.55,10,2.65860002040863,0.0428309437047236,0.0135443336441377
1731.53,10,2.63370001316071,0.0466095933461261,0.0147392475787987
1741.51,10,2.61380000114441,0.0534119929506864,0.0168903552093026
1751.49,19,2.63042104871649,0.080480733083595,0.0184635464428138
1761.47,10,2.58369996547699,0.0653929369352204,0.0206790623603047
1771.45,12,2.58891663948695,0.0803316654563029,0.0231897543378237
1781.43,10,2.5449000120163,0.0826632443148082,0.0261404130813759
1791.41,15,2.56446666717529,0.083885826758762,0.021659227334635
1801.39,34,2.58052940228406,0.081311686926993,0.0139448392635299
1811.37,10,2.5048999786377,0.075036900631551,0.0237287514555428
1821.35,12,2.51483335097631,0.0841727942605899,0.0242985927123973
1831.33,10,2.47819998264313,0.0804125654887324,0.0254286859441845
1841.31,10,2.46119997501373,0.0826476451811773,0.026135480202196
1851.29,19,2.49921052079452,0.0885466803123911,0.0203140016456692
1861.27,10,2.44789998531342,0.0815413835531669,0.0257856495589401
